X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1262255.12501206,233066.687535226,2630,Bowen/Huston Bungalow,715 W Prospect St,715 W Prospect St,3879901965,52,111887,1984/09/10 00:00:00+00,,BowenBungalow3DON.jpg,bowen-huston-bungalow-designation-nomination.pdf
1262985.37486389,233495.171914473,2631,McFee/Klockzien House,524 W Highland Dr,524 W Highland Dr,1732800710,194,109318,1980/09/02 00:00:00+00,,McFeeKlockzien1DON.jpg,mcfee-klockzien-house-designation-nomination.pdf
1264247.62496406,232262.296755552,2632,Del a Mar Apartment Building,115 W Olympic Pl,115 W Olympic Pl,3879900670,62,107752,1978/10/23 00:00:00+00,,DelaMarApts2DON.jpg,delamar-apartment-designation-data-sheet.pdf
1268368.99992339,230678.593886226,2633,Street Clock:  West Earth Co.,406 Dexter Ave N,406 Dexter Ave N,1988201380,71,0,,,WestearthClockDON.jpg,street-clock-designation-nomination.pdf
1272599.8749918,232669.453093469,2634,Bystrom House,1022 Summit Ave E,1022 Summit Ave E,2163901670,64,108214,1979/05/14 00:00:00+00,,Bower1DON.jpg,bower-bystrom-designation-nomination.pdf
1272710.50009863,229236.32806997,2635,Ward House,520 E Denny Way,520 E Denny Way,6848200656,81,106067,1976/12/13 00:00:00+00,,WardHouse3DON.jpg,ward-house-data-sheet.pdf
1273964.7502148,231706.296883315,2636,Anhalt Apartment Building,1014 E Roy St,1014 E Roy St,8579108888,68,108227,1979/05/14 00:00:00+00,,Anhalt1aDON.jpg,anhalt-apartment-roy-designation.pdf
1274037.50006931,231578.109475642,2637,Anhalt Apartment Building,1005 E Roy St,1005 E Roy St,2663000620,69,108731,1979/12/24 00:00:00+00,,Anhalt2aDON.jpg,anhalt-apartment-roy-designation.pdf
1276855.37501097,233973.796941474,2638,Stevens School,1242 18th Ave E,1242 18th Ave E,1337801270,57,0,,,StevensSchool1DON.jpg,stevens-school-designation-nomination.pdf
1276798.62512447,231994.234299555,2639,St Joseph's Church,732 18th Ave E,732 18th Ave E,1336800825,67,0,,,StJosephChurch2DON.jpg,st-josephs-church-designation-nomination.pdf
1267650.50004806,226894.98432748,2640,Schillestad Building,2111 1st Ave,2111 1st Ave,1977200535,101,113460,1987/06/01 00:00:00+00,,SchillestadBldg2DON.jpg,schillestad-building-designation-nomination.pdf
1268538.12491322,226785.859545723,2641,Moore Theatre and Hotel Building,1932 2nd Ave,1932 2nd Ave,1977201035,102,114773,1989/10/16 00:00:00+00,,MooreTheatre4DON.jpg,moore-theater-designation-data-sheet.pdf
1269914.62511297,226805.796841815,2642,Shafer Building/6th and Pine Building,515 Pine St,515 Pine St,1975700120,103,113430,1987/05/11 00:00:00+00,,ShaferBldg1DON.jpg,shafer-building-designation-nomination.pdf
1269973.49999522,226706.17171298,2643,Decatur Building,1521 6th Ave,1521 6th Ave,1975700125,104,112275,1985/05/06 00:00:00+00,,Decatur2DON.jpg,decatur-building-designation-nomination.pdf
1266464.12512422,228231.546943054,2644,New Pacific Apartment Building,2602 1st Ave,2600-04 1st Ave,0654000085,88,108517,1979/07/17 00:00:00+00,,NewPacificApts4DON.jpg,new-pacific-apartment-designation-data-sheet.pdf
1266780.12514839,227665.234427392,2645,Hull Building,2403 1st Ave,2401-05 1st Ave,0653000120,90,108518,1979/07/17 00:00:00+00,,HullBldg3DON.jpg,hull-building-designation.pdf
1269759.75009464,226152.140668809,2646,Liggett/4th and Pike Building,1424 4th Ave,1424 4th Ave,1975700235,118,113426,1987/05/11 00:00:00+00,,Liggett4DON.jpg,liggett-fourth-pike-designation.pdf
